lyapunov,spectral_entropy,spectral_flatness,mode_count,final_C,final_S,mean_C,mean_S,condition,seed,total_reward,reward_mean,reward_std,episode_length
-inf,0.0,0.0,1,0.06842208279951065,6.670551792437934,0.06842208279951065,6.670551792437932,frozen,0,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.08920132627148955,6.670551792437933,0.08920132627148954,6.670551792437931,frozen,1,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.10783994269295308,6.670551792437934,0.10783994269295308,6.670551792437932,frozen,2,0.0,0.0,0.0,100
-1.2077318479589438,3.205626720335243,0.2681970487484381,2,0.6202808064313441,6.670551792437934,0.21329135589118203,5.299853520058946,random_order,0,204.30478231814539,2.0430478231814537,2.4430893786257735,100
-1.3787467506201452,3.3527807369677447,0.27982694741844333,2,0.0,0.0,0.2111005634328394,6.302187327678683,random_order,1,202.37557498129848,2.023755749812984,2.3657864531024875,100
-1.4255487735902097,3.3893176750536598,0.2781200481881425,2,0.13602851860306944,9.840476793880246,0.2069382774460028,5.894106815844935,random_order,2,199.85308564149545,1.998530856414954,2.390529237729105,100
-1.2077318479589438,3.205626720335243,0.2681970487484381,2,0.6202808064313441,6.670551792437934,0.21329135589118203,5.299853520058946,random_life,0,141.9225712606068,1.4192257126060681,1.5568799829891526,100
-1.3787467506201452,3.3527807369677447,0.27982694741844333,2,0.0,0.0,0.2111005634328394,6.302187327678683,random_life,1,146.33834821245668,1.4633834821245668,1.5249217833737323,100
-1.4255487735902097,3.3893176750536598,0.2781200481881425,2,0.13602851860306944,9.840476793880246,0.2069382774460028,5.894106815844935,random_life,2,142.7440890956672,1.4274408909566725,1.5249593218415523,100
-0.4885814666415585,3.230276558410241,0.2169535837913804,2,0.16501052768794655,7.670551792437934,0.3122923230629,4.400827325534876,trained_order,0,309.8742113538996,3.098742113538997,3.13705266642389,100
-0.5314131308537005,3.4264731412713543,0.2961734148900066,2,0.07649812188399246,7.670551792437934,0.2977902540234036,4.190710771761738,trained_order,1,296.22466493940044,2.9622466493940043,3.0737145851376573,100
-0.4161413039138677,3.390546403285585,0.28419644097243224,2,0.0,0.0,0.29586401292383124,3.2910089674530405,trained_order,2,295.8640129238312,2.958640129238312,3.233612990121916,100
-1.7480549905396379,1.3775890767851011,0.03954266633651405,6,0.3868380984055862,11.638418901976557,0.436340015483911,11.274691405638578,trained_life,0,329.7581069226374,3.2975810692263754,0.6753878618660601,100
-1.4611626339110617,0.689800688191124,0.03157898859356357,5,0.3476804797311878,11.638418901976557,0.49442546968410106,11.274691405638578,trained_life,1,359.95964889843606,3.599596488984362,0.6309290100047028,100
-0.9352496910515954,3.172379446272882,0.2553732713287161,2,0.07979718616467456,11.638418901976559,0.3169472359725285,6.976711031005447,trained_life,2,221.56910404893716,2.2156910404893715,1.5497744296897256,100
-0.3672068960354808,3.1406006729583353,0.216666543146466,2,0.0,0.0,0.2120741010879764,2.1604261985873503,shuffled_life,0,50.885955217339905,0.5088595521733992,0.29831076402910567,100
-0.9973080306487888,3.3070937358928876,0.2495136318120646,2,0.17980589883812903,6.670551792437933,0.1948877577874044,4.096468914635637,shuffled_life,1,50.51032633116078,0.5051032633116077,0.2774251871395242,100
-0.8130229556813109,3.1947949258891377,0.2078251778745702,2,0.5547197225354944,7.670551792437934,0.23159476286467862,4.092318539642847,shuffled_life,2,44.10466389276257,0.44104663892762574,0.2733089419306586,100
-inf,0.0,0.0,1,0.06842208279951065,6.670551792437934,0.06842208279951065,6.670551792437932,constant_reward,0,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.08920132627148955,6.670551792437933,0.08920132627148954,6.670551792437931,constant_reward,1,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.10783994269295308,6.670551792437934,0.10783994269295308,6.670551792437932,constant_reward,2,0.0,0.0,0.0,100
