seed,total_reward,mean_reward,final_coherence,mean_coherence,max_coherence,mean_entropy,final_alive,mean_alive,births,deaths,extinct_steps,mean_pairwise_cosine,runtime_sec,algorithm,complexity,branches,observation_mode,reward_mode,train_steps,target_coherence,use_branch_signs,uniform_action_penalty,similarity_penalty,energy_gain
0,112.88239036140783,1.1288239036140784,0.18763248251853376,0.22576478072281564,0.4119817716677116,0.9922516354342069,608,190.55,600,32,0,0.21742886324734337,0.38398549996782094,random,c,40,global,coherence,20000,0.5,1,0.5,0.3,0.05
1,118.91386540568413,1.1891386540568414,0.28603427164389034,0.23782773081136824,0.4785384996146619,0.9925275000908345,563,161.48,573,50,0,0.2290998853809483,0.3271482000127435,random,c,40,global,coherence,20000,0.5,1,0.5,0.3,0.05
2,117.25496650137075,1.1725496650137075,0.2973192034906038,0.23450993300274148,0.3482030471473557,0.9929600046183892,582,176.34,565,23,0,0.2263012432244847,0.354396499984432,random,c,40,global,coherence,20000,0.5,1,0.5,0.3,0.05
0,200.00676812264766,2.0000676812264766,0.10902269843678279,0.40001353624529545,0.6212752615259276,0.9928782138459384,629,319.6,670,81,0,0.39461998083717265,0.6678419999661855,ppo,c,40,global,coherence,20000,0.5,1,0.5,0.3,0.05
1,225.33009814033804,2.25330098140338,0.10096320924675226,0.450660196280676,0.7304268976986136,0.9934289336267987,636,328.27,648,52,0,0.4456042112821273,0.7308795000426471,ppo,c,40,global,coherence,20000,0.5,1,0.5,0.3,0.05
2,176.94737444541246,1.7694737444541246,0.23730418024788055,0.353894748890825,0.6372314510085713,0.9901477521364218,622,339.46,756,174,0,0.34874152663639885,0.7224809000035748,ppo,c,40,global,coherence,20000,0.5,1,0.5,0.3,0.05
0,278.3092446051898,2.783092446051898,0.5741982133314592,0.5566184892103796,0.6218419441351938,0.9963642395536424,640,322.25,601,1,0,0.5522798439023663,19.554723099980038,mcts,c,40,global,coherence,20000,0.5,1,0.5,0.3,0.05
1,289.2554771528264,2.892554771528264,0.6026139393604744,0.5785109543056529,0.61301862430241,0.9962604630193342,640,331.19,600,0,0,0.5747743443723423,20.14582039997913,mcts,c,40,global,coherence,20000,0.5,1,0.5,0.3,0.05
2,279.2160751960949,2.792160751960949,0.5863613172185592,0.5584321503921896,0.6400233059419013,0.9959001938774231,640,332.25,602,2,0,0.5540820532698091,20.36074319999898,mcts,c,40,global,coherence,20000,0.5,1,0.5,0.3,0.05
