cond_a,cond_b,metric,n,t,p,mean_diff
trained_params,random_params,total_reward,30,17.04709302429376,1.186237563245737e-16,14.063479642666154
trained_params,constant_reward,total_reward,30,-10.693679756566993,1.410532960120547e-11,-9.204788826412114
