lyapunov,spectral_entropy,spectral_flatness,mode_count,final_C,final_S,condition,seed,total_reward,reward_mean,reward_std,episode_length
-inf,0.0,0.0,1,0.06842208279951063,6.670551792437934,frozen,0,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.08920132627148955,6.670551792437933,frozen,1,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.10783994269295319,6.670551792437934,frozen,2,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.05356482323307233,6.670551792437934,frozen,3,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.1142915263579863,6.670551792437933,frozen,4,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.029230505126129014,6.670551792437934,frozen,5,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.015185105744290023,6.670551792437934,frozen,6,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.17937757914757838,6.670551792437934,frozen,7,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.1292684474242558,6.670551792437934,frozen,8,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.06490544550463785,6.670551792437934,frozen,9,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.09264920222029498,6.670551792437934,frozen,10,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.16576094855094442,6.670551792437934,frozen,11,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.0156618823038988,6.670551792437933,frozen,12,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.24476379839326026,6.670551792437934,frozen,13,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.033153123916256494,6.670551792437934,frozen,14,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.04157583467056128,6.670551792437934,frozen,15,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.09977757735122302,6.670551792437934,frozen,16,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.13178807392434286,6.670551792437934,frozen,17,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.012076886823253183,6.670551792437934,frozen,18,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.2175766202373636,6.670551792437933,frozen,19,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.052304808982662404,6.670551792437934,frozen,20,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.4490283851518646,6.670551792437934,frozen,21,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.02704045376961058,6.670551792437934,frozen,22,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.010136882750768952,6.670551792437934,frozen,23,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.06575739511928372,6.670551792437934,frozen,24,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.050019998967171395,6.670551792437934,frozen,25,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.008952846785973093,6.670551792437934,frozen,26,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.05309296795375345,6.670551792437934,frozen,27,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.17569105918713568,6.670551792437934,frozen,28,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.04827365549471066,6.670551792437934,frozen,29,0.0,0.0,0.0,50
-2.9107497302697727,2.8884230503094317,0.2660376473103046,2,0.0,0.0,random_growth,0,-25.66983611716937,-0.5133967223433872,0.1998088883914363,50
-3.277426386202766,2.7286088556218764,0.23395916117284848,2,0.0,0.0,random_growth,1,-21.628368768234488,-0.4325673753646897,0.24696996613647185,50
-3.219716802505202,2.8782215876824293,0.1944487718615569,2,0.0,0.0,random_growth,2,-20.884962790618403,-0.41769925581236805,0.24941847927691424,50
-3.3549853799244165,2.9114273382931084,0.2605601824226559,2,0.0,0.0,random_growth,3,-23.834450501866932,-0.4766890100373385,0.222989382366174,50
-4.0350790970622095,2.677124696846868,0.20451453426875685,2,0.0,0.0,random_growth,4,-22.534138223389736,-0.4506827644677947,0.23141045024835485,50
-3.205251865014999,2.7604500270192913,0.2138688216321141,2,0.0,0.0,random_growth,5,-24.018810846771256,-0.48037621693542504,0.2172853909035079,50
-3.0345586568354377,2.710818917724976,0.21014193651702318,2,0.0,0.0,random_growth,6,-21.46507240357128,-0.42930144807142556,0.2437964710295307,50
-3.7733327221713724,2.827702827737501,0.2393474768134808,2,0.0,0.0,random_growth,7,-21.796575736060213,-0.4359315147212042,0.24308902748047304,50
-3.1932784783292876,2.8321252560487222,0.21398315045097335,2,0.05840684058486308,6.670551792437934,random_growth,8,-21.31736952619508,-0.4263473905239016,0.24922619727943054,50
-2.873574547151822,2.9998957998469242,0.32297120812539126,2,0.0,0.0,random_growth,9,-23.900767736307127,-0.4780153547261424,0.23136788166829442,50
-3.4061207224573415,2.795789643991143,0.2028272841503141,2,0.0,0.0,random_growth,10,-19.500725935261205,-0.390014518705224,0.24750530462258516,50
-2.910607153743641,2.8702936744587433,0.2530419086862624,2,0.0,0.0,random_growth,11,-24.38629400823609,-0.48772588016472157,0.21651649831050523,50
-3.265231311955479,2.818636942155855,0.2167699562085038,2,0.0,0.0,random_growth,12,-22.639495519210932,-0.45278991038421856,0.2397890954910363,50
-3.7871558277414383,2.848250295730981,0.24415307750022539,2,0.0,0.0,random_growth,13,-26.26728881024483,-0.5253457762048963,0.1863760483484924,50
-3.111579427500766,2.9398933767787323,0.29772092011721835,2,0.0,0.0,random_growth,14,-25.051849573120947,-0.5010369914624188,0.2132735663329401,50
-2.983866738691658,2.8006679243889514,0.23000895969507887,2,0.0,0.0,random_growth,15,-22.60119070726371,-0.4520238141452741,0.24101771439013187,50
-3.1801809013159588,2.7286888449727815,0.2179222632949688,2,0.0,0.0,random_growth,16,-26.198071378632335,-0.5239614275726465,0.17854997282800184,50
-3.6345697385069635,2.775030289318405,0.19955271190495216,2,0.01194899936639773,8.992479887325295,random_growth,17,-20.279307996826944,-0.40558615993653896,0.24383344111379124,50
-3.4474565689259133,2.9535913838225816,0.2767270328077267,2,0.0,0.0,random_growth,18,-25.34031175863508,-0.5068062351727015,0.20025317588764804,50
-2.8780960335961137,2.784861347136293,0.23049764212438154,2,0.0,0.0,random_growth,19,-22.099051250149923,-0.4419810250029984,0.25423168829908405,50
-2.8392197768603564,2.691351219630689,0.18024451593820015,2,0.0,0.0,random_growth,20,-21.48869679967358,-0.4297739359934717,0.25177334736257806,50
-3.1917230037771156,2.785344051371311,0.2042685816811389,2,0.0,0.0,random_growth,21,-22.856548872112732,-0.45713097744225467,0.24332108234517166,50
-3.2660541530073424,2.9418490774547434,0.28885599264214296,2,0.0,0.0,random_growth,22,-21.764253173715517,-0.4352850634743102,0.24323047678691723,50
-3.711616341315694,2.8959691686952693,0.23486729599312695,2,0.0,0.0,random_growth,23,-22.68922402646291,-0.4537844805292581,0.23791233532392742,50
-2.875920511621643,2.781932983237272,0.21317269885340293,2,0.0,0.0,random_growth,24,-21.029108111641094,-0.42058216223282185,0.2543057311536245,50
-3.366381417118604,2.79576352431636,0.21109757868214882,2,0.0,0.0,random_growth,25,-24.054511353344775,-0.4810902270668953,0.225429265506575,50
-3.2766194582326515,2.8591732883636936,0.22646857452636293,2,0.0,0.0,random_growth,26,-22.108714291380537,-0.44217428582761065,0.24428825887954178,50
-2.9327094363720767,2.5384238848177874,0.11970252798229006,2,0.0,0.0,random_growth,27,-23.20350284106318,-0.4640700568212635,0.24349929910476878,50
-2.958711249705133,2.885590730371151,0.2653371140478337,2,0.0,0.0,random_growth,28,-26.615541001482416,-0.5323108200296481,0.1837695948266423,50
-3.6110326011551352,2.8360206551319664,0.2498644143232742,2,0.04829840543093774,6.670551792437934,random_growth,29,-24.61659957064025,-0.49233199141280487,0.2167580632889646,50
-4.071601696149292,2.9764826296714424,0.2811585941539248,2,0.010013694694286538,10.577442388046453,trained_growth,0,-14.70295168463886,-0.29405903369277714,0.18714313516547262,50
