lyapunov,spectral_entropy,spectral_flatness,mode_count,final_C,final_S,condition,seed,total_reward,reward_mean,reward_std,episode_length
-inf,0.0,0.0,1,0.06842208279951063,6.670551792437934,frozen,0,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.08920132627148955,6.670551792437933,frozen,1,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.10783994269295319,6.670551792437934,frozen,2,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.05356482323307233,6.670551792437934,frozen,3,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.1142915263579863,6.670551792437933,frozen,4,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.029230505126129014,6.670551792437934,frozen,5,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.015185105744290023,6.670551792437934,frozen,6,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.17937757914757838,6.670551792437934,frozen,7,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.1292684474242558,6.670551792437934,frozen,8,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.06490544550463785,6.670551792437934,frozen,9,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.09264920222029498,6.670551792437934,frozen,10,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.16576094855094442,6.670551792437934,frozen,11,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.0156618823038988,6.670551792437933,frozen,12,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.24476379839326026,6.670551792437934,frozen,13,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.033153123916256494,6.670551792437934,frozen,14,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.04157583467056128,6.670551792437934,frozen,15,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.09977757735122302,6.670551792437934,frozen,16,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.13178807392434286,6.670551792437934,frozen,17,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.012076886823253183,6.670551792437934,frozen,18,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.2175766202373636,6.670551792437933,frozen,19,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.052304808982662404,6.670551792437934,frozen,20,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.4490283851518646,6.670551792437934,frozen,21,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.02704045376961058,6.670551792437934,frozen,22,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.010136882750768952,6.670551792437934,frozen,23,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.06575739511928372,6.670551792437934,frozen,24,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.050019998967171395,6.670551792437934,frozen,25,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.008952846785973093,6.670551792437934,frozen,26,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.05309296795375345,6.670551792437934,frozen,27,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.17569105918713568,6.670551792437934,frozen,28,0.0,0.0,0.0,50
-inf,0.0,0.0,1,0.04827365549471066,6.670551792437934,frozen,29,0.0,0.0,0.0,50
-3.484260004056127,2.971542386920914,0.30893201801448883,2,0.0,0.0,random_branch,0,-23.960016806803743,-0.4792003361360747,0.228691250690883,50
-3.6059963031698965,2.950398391442175,0.3080925180445476,2,0.0,0.0,random_branch,1,-21.331156340864165,-0.42662312681728326,0.2391141173292192,50
-3.233541842318688,2.8978695561037724,0.28848982915798704,2,0.0,0.0,random_branch,2,-24.67739247340523,-0.4935478494681044,0.20695746478929852,50
-3.0670051307237194,2.8376824212796388,0.17656718713225017,2,0.005175589643264018,6.670551792437934,random_branch,3,-21.190193503184933,-0.4238038700636986,0.25006200229738784,50
-3.1269740457654693,2.5658184355222127,0.1528077249232351,2,0.0,0.0,random_branch,4,-22.58668421989747,-0.45173368439794925,0.24025778972689774,50
-2.9835167514592342,2.882575284082744,0.2684819458594843,2,0.0,0.0,random_branch,5,-21.88766077829792,-0.4377532155659582,0.24226602125941174,50
-2.9772874579769506,2.9086312934581224,0.2701113182525284,2,0.0,0.0,random_branch,6,-22.538220137735063,-0.4507644027547012,0.2425911186382365,50
-2.754957918774403,2.9743664911276912,0.29826999683478905,2,0.0,0.0,random_branch,7,-23.25322806168712,-0.4650645612337423,0.2421612761490232,50
-3.20528781107044,2.9393690954697225,0.26804977579120015,2,0.004290060879795053,6.670551792437934,random_branch,8,-16.565208638250752,-0.3313041727650151,0.24732389517033782,50
-3.517463042423245,2.796711800216558,0.21336359052385823,2,0.010944144362684417,9.255514293159088,random_branch,9,-19.305832093486117,-0.3861166418697224,0.2486396396582552,50
-2.9628197522986106,2.903544866151401,0.2681501207842508,2,0.08542221039755034,7.670551792437934,random_branch,10,-18.886554858485713,-0.3777310971697142,0.2748297494911121,50
-3.4799353795861894,2.7152573318836604,0.22629332984841036,2,0.014761819356265039,6.670551792437934,random_branch,11,-20.79739603543613,-0.4159479207087226,0.25870824455770414,50
-3.4789407589972665,2.9295803120091493,0.29462216852117323,2,0.01711482995137324,6.670551792437934,random_branch,12,-21.60583881705703,-0.43211677634114054,0.2475787582890679,50
-3.2629844064404474,2.5645055284937275,0.17208560578402926,2,0.00036258796328421296,8.670551792437934,random_branch,13,-21.420434892470492,-0.42840869784940977,0.24423211511832563,50
-3.644898915932525,2.9805596778839996,0.3234543264903209,2,0.01673778519059267,7.670551792437934,random_branch,14,-22.45320904999883,-0.4490641809999766,0.2438647948250319,50
-3.433079362161246,2.6720288287077136,0.14886785472156336,2,0.0,0.0,random_branch,15,-21.665002400854657,-0.4333000480170931,0.23771211715816806,50
-3.4720389278087924,2.6235571939181046,0.20128047078314035,2,0.0,0.0,random_branch,16,-22.31297006660009,-0.44625940133200165,0.23834443755301263,50
-3.4483937983973445,2.9399704436878964,0.30205915035263714,2,0.059373142948750415,6.670551792437934,random_branch,17,-20.66425912657663,-0.4132851825315326,0.25374330829017083,50
-3.2823043836142416,2.7506762315726783,0.1961672557102058,2,0.0,0.0,random_branch,18,-21.348750814856285,-0.42697501629712564,0.24727237590474527,50
-3.0398031229670694,2.8718651815681198,0.2614351607736515,2,0.0,0.0,random_branch,19,-22.552577921228846,-0.451051558424577,0.22682689693224153,50
-3.7268198508781976,2.5991254927645575,0.17041414147440878,2,0.0,0.0,random_branch,20,-19.595882197561945,-0.3919176439512389,0.24557207176389845,50
-2.8845090359905687,2.921835338657192,0.26381504580014614,2,0.0028157715929137514,7.670551792437934,random_branch,21,-24.970185131056304,-0.4994037026211259,0.21669451971033257,50
-3.1611275352525405,2.90050631664484,0.25232924817059016,2,0.02233165528873281,6.670551792437934,random_branch,22,-20.465826388235158,-0.40931652776470306,0.25932943422709875,50
-3.092362741452129,2.8444119295222987,0.2777184735525915,2,0.0,0.0,random_branch,23,-22.151339315796076,-0.44302678631592146,0.2379853670809135,50
-3.174526355211937,2.6911097119419103,0.19551912567050125,2,0.09456089333091997,8.670551792437934,random_branch,24,-16.641464342629483,-0.3328292868525898,0.26243240923438926,50
-3.183138129369868,3.0188351636539226,0.33307376672060296,2,0.030535515463630567,6.670551792437934,random_branch,25,-21.857304489539132,-0.4371460897907825,0.2506226220700536,50
-3.5571110746864076,2.8699507685098355,0.28233112865585724,2,0.0,0.0,random_branch,26,-20.874353580627073,-0.41748707161254134,0.2564920161984602,50
-3.6542629135017197,2.943582220901745,0.29832111726050825,2,0.0,0.0,random_branch,27,-22.58523770562058,-0.4517047541124116,0.24111307136447613,50
-3.2087729444458293,2.9265647951240834,0.25711203233765684,2,0.04160441144175966,8.670551792437934,random_branch,28,-24.66290937648057,-0.4932581875296112,0.2169092783962107,50
