cond_a,cond_b,metric,n,t,p,mean_diff
trained_order,random_order,total_reward,5,5.741111454933317,0.004561014495618437,192.47694023076988
trained_life,random_life,total_reward,5,2.3173499464141383,0.08137294848253634,163.90736774094506
trained_life,shuffled_life,total_reward,5,4.994348533405026,0.007520455635261054,378.272113320549
trained_life,constant_reward,total_reward,5,5.700000633562754,0.004681737975411137,427.94325192033995
