lyapunov,spectral_entropy,spectral_flatness,mode_count,final_C,mean_C,final_S,mean_S,condition,seed,total_reward,reward_mean,reward_std,episode_length
-1.1710852819999087,1.2671517141432418,0.04290622312463257,3,11.668531518992763,11.667062090994447,11.65312623934733,11.299206195673413,random_evolution,0,382.42985240371104,3.824298524037111,1.1804112630739607,100
-1.0360370332307602,1.287162950311086,0.026323839767201436,2,9.517881893590465,8.97193925908335,11.635271651385093,11.238508367783673,random_evolution,1,294.31483049286106,2.9431483049286102,1.2344318038633681,100
-0.7895018142915214,0.6949952018849032,0.008347784755844459,2,3.486156598885328,7.423242010702703,11.638418901976559,11.274691405638578,random_evolution,2,253.90610797835015,2.5390610797835005,1.048177024324055,100
-0.9064542708965662,1.9543587665319544,0.06169828516634457,2,11.04915698770653,9.654253379874634,11.659462536074335,11.29645903101719,random_evolution,3,318.41266967787703,3.1841266967787707,0.9217152026331505,100
-1.4878209251841554,1.7322896055713788,0.05620094878882017,2,16.053959254430037,13.425930199821932,11.684993115747009,11.320940313941396,random_evolution,4,433.8846721380888,4.3388467213808894,1.4035244491996792,100
-1.6240432511885492,1.0206158416239266,0.024640632372036852,2,8.32825205284866,8.621484189022821,11.676352870987913,11.295042737955411,random_evolution,5,285.23195444075895,2.852319544407589,1.1174160722936035,100
-1.1192884930140672,1.0971558076679377,0.023469487756566147,2,7.625807711225599,6.718915132990453,11.664021314874114,11.291224035041582,random_evolution,6,230.32374726464442,2.3032374726464435,1.0435913893752278,100
-1.0440113530482553,2.0459184887129815,0.08072618796238615,2,13.04347544512328,9.662546751181221,11.663399427789907,11.30890812471657,random_evolution,7,322.27822232757563,3.222782223275756,0.9258263802912626,100
-1.4018814887715734,1.3099455615261568,0.03548856309227768,2,12.718508212188059,6.725330410338932,11.64138745760578,11.246895657890517,random_evolution,8,228.26508621368376,2.2826508621368378,1.4015145308088546,100
-1.0374898158293762,2.120537060215089,0.09763066053101027,2,12.831444855165433,7.5316668765562,11.674709966814842,11.306024502631656,random_evolution,9,256.2316321256333,2.5623163212563327,0.8807141305912425,100
-2.332232373875366,1.4822605216189857,0.002663536978215173,2,0.07453498466572361,1.1915523375271133,11.638418901976559,11.274691405638578,trained_evolution,0,66.95541778308245,0.6695541778308245,0.14041029226896798,100
-2.344659101139032,1.7968589940412933,0.062448508769987976,2,16.119945401933222,13.90706936398001,11.663399427789907,11.30890812471657,trained_evolution,1,449.61390071153954,4.496139007115394,1.3385304529022466,100
-1.9417602941374048,1.06086374040241,0.028019368064999536,3,10.059136932361405,12.239736876060412,11.64789807851603,11.286528666812451,trained_evolution,2,398.3812251704581,3.9838122517045833,1.2303530962552376,100
-2.275762529728652,2.224426345161404,0.10665165549415993,2,4.979775352705959,4.741724194754241,11.666146574967355,11.311320449737163,trained_evolution,3,174.62452509306533,1.7462452509306527,0.2968071901087223,100
-2.0727711758753355,1.6130651280061734,0.0517696288098179,2,23.611513268240888,19.38553160085944,11.663399427789908,11.308908124716568,trained_evolution,4,613.967767817922,6.139677678179222,2.132600245575976,100
-2.2799807299228134,1.7041718400633992,0.0574950627498656,2,20.597679593694316,17.047237889910402,11.638418901976559,11.274691405638578,trained_evolution,5,542.625984354581,5.42625984354581,1.7850165483019185,100
-2.2046219528900637,1.5486666396366733,0.05046681682114665,2,21.08027248543448,17.142647391192305,11.663743997565689,11.306523652089261,trained_evolution,6,544.2102156489536,5.442102156489536,1.9352393058628856,100
-1.7144613308160375,1.729574384675489,0.05022326989669076,5,22.24688503633313,18.765956357993517,11.676524776769089,11.321118709340794,trained_evolution,7,595.3351595575708,5.953351595575706,2.0482989522734023,100
-1.9177508191592876,1.4126753270859136,0.046650582846370504,2,22.525274894136363,17.290847175064734,11.638418901976559,11.274691405638578,trained_evolution,8,549.934262909211,5.49934262909211,2.1186941234141705,100
-2.3508658596740215,1.6670957855194448,0.05522276278150602,2,21.721671738656234,18.438785424625838,11.663399427789905,11.306946405340009,trained_evolution,9,585.5561520632084,5.855561520632085,1.9143094224334747,100
-1.363357742007633,1.2730316237084183,0.04636460071888642,2,21.07174025432433,12.0511356254431,11.63841890197656,11.274691405638578,shuffled_evolution,0,51.94079728680133,0.5194079728680133,0.28013540295664285,100
-1.1423866526359663,2.490579899390322,0.1427515116825227,2,6.132857689956716,5.502248416456879,11.64789807851603,11.286528666812451,shuffled_evolution,1,49.87611947234936,0.49876119472349356,0.3032868630381958,100
-4.300874101800024,0.6071246292322037,0.0009390185526697949,6,0.039828686417274634,0.642616914287279,11.68717730820379,11.322926759482216,shuffled_evolution,2,52.691163090646086,0.5269116309064611,0.27232116717640636,100
-2.6573588802587222,2.194280008933667,0.09594711961454278,2,1.1045251207676121,0.9966681074052376,11.638418901976557,11.274691405638578,shuffled_evolution,3,54.93056594141044,0.5493056594141045,0.2877320730705933,100
-0.996623856623526,0.9779454361535461,0.013519367065044242,3,5.014238484197782,6.445587958244542,11.638418901976559,11.274691405638578,shuffled_evolution,4,47.630727966025376,0.4763072796602538,0.2863110386910977,100
-2.432222390637356,1.4804047867462846,0.05063110062345101,6,3.9845055288095614,3.329900317543826,11.64442872628334,11.240308984210099,shuffled_evolution,5,50.07729031702981,0.500772903170298,0.3138475685653218,100
-4.005729461052758,0.8749423973606122,0.005105213467752624,4,0.20656610660933675,0.369597191762718,11.63841890197656,11.274691405638578,shuffled_evolution,6,51.759989378469356,0.5175998937846934,0.2797148106225514,100
-1.7214377283032167,2.2615035900610985,0.0994652395666789,2,8.709485727741098,8.145018342790143,11.64824492964489,11.28676452558008,shuffled_evolution,7,46.67554216771284,0.46675542167712847,0.28973083508765574,100
-1.0744823333654276,2.1557136901624725,0.07144337046328109,8,6.537072065920024,5.986362873759967,11.638418901976559,11.274691405638578,shuffled_evolution,8,57.80452486116482,0.5780452486116482,0.2800750391482654,100
-3.3234894604159564,1.377165178615822,0.005386594336208542,2,0.3456817094618141,0.5666829635851982,11.638418901976559,11.274691405638578,shuffled_evolution,9,50.898256335825174,0.5089825633582518,0.2783542904633706,100
-inf,0.0,0.0,1,0.06842208279951065,0.06842208279951065,6.670551792437934,6.670551792437932,constant_reward,0,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.08920132627148955,0.08920132627148954,6.670551792437933,6.670551792437931,constant_reward,1,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.10783994269295308,0.10783994269295308,6.670551792437934,6.670551792437932,constant_reward,2,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.05356482323307239,0.053564823233072406,6.670551792437934,6.670551792437932,constant_reward,3,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.11429152635798623,0.11429152635798623,6.670551792437933,6.670551792437931,constant_reward,4,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.029230505126128986,0.029230505126128997,6.670551792437934,6.670551792437932,constant_reward,5,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.015185105744290038,0.01518510574429004,6.670551792437934,6.670551792437932,constant_reward,6,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.17937757914757838,0.17937757914757835,6.670551792437934,6.670551792437932,constant_reward,7,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.129268447424256,0.129268447424256,6.670551792437934,6.670551792437932,constant_reward,8,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.06490544550463787,0.06490544550463785,6.670551792437934,6.670551792437932,constant_reward,9,0.0,0.0,0.0,100
-1.7196471528115502,1.7686332688933362,0.06202409383743114,2,18.20503437540214,15.23338478177971,11.68717730820379,11.328464828316744,mcts_evolution,0,489.33326873953007,4.8933326873953,1.5222109735183025,100
-1.9229600277167123,1.428826647909397,0.044711388475155635,2,17.90015430588712,15.693869859037525,11.653125583381732,11.292359297227009,mcts_evolution,1,500.8954969424139,5.008954969424139,1.7473920818817081,100
-1.4948141017521221,1.6221814847949931,0.056563581973916595,2,18.820033410573174,14.486955358890418,11.64789807851603,11.286528666812451,mcts_evolution,2,465.7977796553583,4.657977796553583,1.5972382554742055,100
-2.108316491640655,1.576547657832942,0.05172418591094892,2,18.392359119576124,15.524018710796142,11.704267707152301,11.344408544215515,mcts_evolution,3,497.98821375019156,4.979882137501917,1.6615889030700475,100
-1.3265835845329106,1.6507159712301125,0.049986984430825415,2,17.242484858637738,16.23932723995201,11.663399427789907,11.30694640534001,mcts_evolution,4,519.5724065229937,5.195724065229936,1.5988542197865274,100
-1.7756554802445066,1.6183937422063308,0.05422986305920252,2,17.937354296851165,15.276626271561064,11.637185093588627,11.27807065331553,mcts_evolution,5,489.5270037246395,4.8952700372463935,1.6091763665156198,100
-1.6230521035534355,1.6221034896607964,0.05847197997460432,2,17.457790830679343,14.078251008530712,11.663135988585662,11.300475931796322,mcts_evolution,6,453.48840370292737,4.534884037029275,1.4810551543599613,100
-2.1721421096114777,1.7706050052341529,0.062408012601187814,2,19.201402260603885,16.499548044357827,11.663399427789907,11.30890812471657,mcts_evolution,7,527.3882611228739,5.273882611228739,1.5843017391548815,100
-1.6670636194816972,1.69907526779095,0.058997448650880045,2,18.418018009377196,15.47552059342195,11.638418901976559,11.274691405638578,mcts_evolution,8,495.4744654599276,4.954744654599276,1.534233056416422,100
-1.988263654565626,1.7171271418375287,0.05732490231746827,2,19.618649769757393,16.021545526147385,11.653474440478714,11.299581061427102,mcts_evolution,9,513.0637306820428,5.13063730682043,1.6956135169709508,100
