seed,total_reward,mean_reward,final_coherence,mean_coherence,max_coherence,mean_entropy,final_alive,mean_alive,births,deaths,extinct_steps,mean_pairwise_cosine,runtime_sec,algorithm,complexity,branches,observation_mode,reward_mode,train_steps,target_coherence,use_branch_signs,uniform_action_penalty,similarity_penalty,energy_gain
0,112.88239036140783,1.1288239036140784,0.18763248251853376,0.22576478072281564,0.4119817716677116,0.9922516354342069,608,190.55,600,32,0,0.21742886324734337,0.37917849997757,random,c,40,global,coherence,50000,0.5,1,0.5,0.3,0.05
1,118.91386540568413,1.1891386540568414,0.28603427164389034,0.23782773081136824,0.4785384996146619,0.9925275000908345,563,161.48,573,50,0,0.2290998853809483,0.35140849999152124,random,c,40,global,coherence,50000,0.5,1,0.5,0.3,0.05
2,117.25496650137075,1.1725496650137075,0.2973192034906038,0.23450993300274148,0.3482030471473557,0.9929600046183892,582,176.34,565,23,0,0.2263012432244847,0.3530025000218302,random,c,40,global,coherence,50000,0.5,1,0.5,0.3,0.05
3,114.46946053663888,1.1446946053663887,0.09981949939039257,0.22893892107327776,0.40569657781904395,0.9939312405960331,411,154.76,382,11,0,0.22017163876318221,0.30401829996844754,random,c,40,global,coherence,50000,0.5,1,0.5,0.3,0.05
4,68.49401878815756,0.6849401878815756,0.27525911414316545,0.1369880375763151,0.32599011782389786,0.988486563809447,218,77.45,196,18,0,0.12191193937750136,0.15853879996575415,random,c,40,global,coherence,50000,0.5,1,0.5,0.3,0.05
0,255.82907877258972,2.5582907877258974,0.4659564997945322,0.5116581575451794,0.6336101760785113,0.995982698731662,640,325.01,605,5,0,0.507201031405043,0.7162392000318505,ppo,c,40,global,coherence,50000,0.5,1,0.5,0.3,0.05
1,285.15527379112905,2.8515527379112906,0.5815758321054991,0.570310547582258,0.6114422462462629,0.9961319194150663,640,324.05,602,2,0,0.5664449337356208,1.111494800017681,ppo,c,40,global,coherence,50000,0.5,1,0.5,0.3,0.05
2,314.66505069322,3.1466505069322,0.7301814287861156,0.6293301013864402,0.850706722778653,0.9947853153784848,640,345.13,613,13,0,0.6245887110397075,0.8311992000089958,ppo,c,40,global,coherence,50000,0.5,1,0.5,0.3,0.05
3,272.47563853891364,2.7247563853891363,0.5141140685995763,0.5449512770778273,0.6108771476149427,0.9958892357043361,640,320.44,606,6,0,0.5404684648865472,0.866860700014513,ppo,c,40,global,coherence,50000,0.5,1,0.5,0.3,0.05
4,211.5316501537597,2.115316501537597,0.23229104871797723,0.42306330030751943,0.8412487955488954,0.9915505957307006,638,336.75,620,22,0,0.41734965907569915,0.7346231000265107,ppo,c,40,global,coherence,50000,0.5,1,0.5,0.3,0.05
0,278.3092446051898,2.783092446051898,0.5741982133314592,0.5566184892103796,0.6218419441351938,0.9963642395536424,640,322.25,601,1,0,0.5522798439023663,26.563957800040953,mcts,c,40,global,coherence,50000,0.5,1,0.5,0.3,0.05
1,289.2554771528264,2.892554771528264,0.6026139393604744,0.5785109543056529,0.61301862430241,0.9962604630193342,640,331.19,600,0,0,0.5747743443723423,29.077898699964862,mcts,c,40,global,coherence,50000,0.5,1,0.5,0.3,0.05
2,279.2160751960949,2.792160751960949,0.5863613172185592,0.5584321503921896,0.6400233059419013,0.9959001938774231,640,332.25,602,2,0,0.5540820532698091,29.42089670000132,mcts,c,40,global,coherence,50000,0.5,1,0.5,0.3,0.05
3,279.8813487215303,2.7988134872153028,0.610620018837527,0.5597626974430606,0.6383386113504796,0.9961818725899948,640,314.55,601,1,0,0.55526396228343,28.594847799977288,mcts,c,40,global,coherence,50000,0.5,1,0.5,0.3,0.05
4,233.94226561123125,2.3394226561123124,0.6067316608289051,0.46788453122246265,0.6094590540287262,0.9943678950360304,640,289.12,607,7,0,0.4616998876770117,24.2933289000066,mcts,c,40,global,coherence,50000,0.5,1,0.5,0.3,0.05
