seed,total_reward,mean_reward,final_coherence,mean_coherence,max_coherence,mean_entropy,final_alive,mean_alive,births,deaths,extinct_steps,mean_pairwise_cosine,runtime_sec,algorithm,branches,observation_mode,reward_mode,train_steps,target_coherence,use_branch_signs,uniform_action_penalty,similarity_penalty,energy_gain
0,544.3911068940897,5.443911068940897,0.18763248251853376,0.22576478072281564,0.4119817716677116,0.9922516354342069,608,190.55,600,32,0,0.21742886324734337,0.37995600001886487,random,40,global,combined,10000,0.5,1,0.5,0.0,0.05
1,478.2037393201616,4.782037393201616,0.28603427164389034,0.23782773081136824,0.4785384996146619,0.9925275000908345,563,161.48,573,50,0,0.2290998853809483,0.34300259995507076,random,40,global,combined,10000,0.5,1,0.5,0.0,0.05
2,515.166839632233,5.1516683963223295,0.2973192034906038,0.23450993300274148,0.3482030471473557,0.9929600046183892,582,176.34,565,23,0,0.2263012432244847,0.38783130003139377,random,40,global,combined,10000,0.5,1,0.5,0.0,0.05
3,456.97323559036573,4.569732355903657,0.09981949939039257,0.22893892107327776,0.40569657781904395,0.9939312405960331,411,154.76,382,11,0,0.22017163876318221,0.31211360002635047,random,40,global,combined,10000,0.5,1,0.5,0.0,0.05
4,206.81400615088913,2.0681400615088914,0.27525911414316545,0.1369880375763151,0.32599011782389786,0.988486563809447,218,77.45,196,18,0,0.12191193937750136,0.15956649999134243,random,40,global,combined,10000,0.5,1,0.5,0.0,0.05
0,735.96321906795,7.3596321906795,0.14722874932590269,0.2766678263641236,0.42959227640226183,0.9923753329987107,639,261.1,658,59,0,0.26910380774091947,0.6589041000115685,ppo,40,global,combined,10000,0.5,1,0.5,0.0,0.05
1,811.8222522233873,8.118222522233873,0.17635372510376504,0.24415735816426656,0.5351676149319554,0.9884845037254334,623,296.53,785,202,0,0.23748085695979776,0.8812568999710493,ppo,40,global,combined,10000,0.5,1,0.5,0.0,0.05
2,937.1729511548926,9.371729511548926,0.21661527997005547,0.3317714686251957,0.5332836117433162,0.990197217307314,626,328.86,755,169,0,0.32622916220997544,1.0715503999963403,ppo,40,global,combined,10000,0.5,1,0.5,0.0,0.05
3,757.3709639304004,7.573709639304004,0.12132845203664967,0.2367002209987777,0.40817122407113177,0.988683928465691,627,278.07,740,153,0,0.2293163198053672,0.7753766999812797,ppo,40,global,combined,10000,0.5,1,0.5,0.0,0.05
4,904.675418783956,9.04675418783956,0.3553804326709486,0.2760229847976803,0.5656810270930952,0.9876298143578928,623,326.59,858,275,0,0.26972034739175393,0.8546548999729566,ppo,40,global,combined,10000,0.5,1,0.5,0.0,0.05
0,1047.994181080409,10.479941810804089,0.5493950047340297,0.543203579413866,0.5985116831394559,0.9963500986527941,640,323.49,601,1,0,0.5388726635999048,23.42260690004332,mcts,40,global,combined,10000,0.5,1,0.5,0.0,0.05
1,1099.1363808158342,10.991363808158342,0.619329690663929,0.5930891548893987,0.6289380169971216,0.9964113049205839,640,334.94,600,0,0,0.5894684034437614,26.837476500018965,mcts,40,global,combined,10000,0.5,1,0.5,0.0,0.05
2,1070.4709550768455,10.704709550768454,0.5995877014984697,0.5604616754451851,0.6440150261962527,0.9959394012870368,640,330.28,602,2,0,0.5560949205788333,25.810380699986126,mcts,40,global,combined,10000,0.5,1,0.5,0.0,0.05
3,1032.6041672216454,10.326041672216455,0.6122577490548348,0.5601427306305952,0.6383386113504796,0.9961706389692385,640,314.49,601,1,0,0.5556445504856675,26.110020600026473,mcts,40,global,combined,10000,0.5,1,0.5,0.0,0.05
4,913.9771175647973,9.139771175647972,0.5866091552877964,0.466661412890667,0.6043810450311564,0.9944792742066996,640,286.41,606,6,0,0.46048166806795376,23.418601599987596,mcts,40,global,combined,10000,0.5,1,0.5,0.0,0.05
