lyapunov,spectral_entropy,spectral_flatness,mode_count,final_C,final_S,mean_C,mean_S,condition,seed,total_reward,reward_mean,reward_std,episode_length
-inf,0.0,0.0,1,0.06842208279951065,6.670551792437934,0.06842208279951065,6.670551792437932,frozen,0,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.08920132627148955,6.670551792437933,0.08920132627148954,6.670551792437931,frozen,1,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.10783994269295308,6.670551792437934,0.10783994269295308,6.670551792437932,frozen,2,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.05356482323307239,6.670551792437934,0.053564823233072406,6.670551792437932,frozen,3,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.11429152635798623,6.670551792437933,0.11429152635798623,6.670551792437931,frozen,4,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.029230505126128986,6.670551792437934,0.029230505126128997,6.670551792437932,frozen,5,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.015185105744290038,6.670551792437934,0.01518510574429004,6.670551792437932,frozen,6,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.17937757914757838,6.670551792437934,0.17937757914757835,6.670551792437932,frozen,7,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.129268447424256,6.670551792437934,0.129268447424256,6.670551792437932,frozen,8,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.06490544550463787,6.670551792437934,0.06490544550463785,6.670551792437932,frozen,9,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.09264920222029503,6.670551792437934,0.09264920222029505,6.670551792437932,frozen,10,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.16576094855094417,6.670551792437934,0.16576094855094414,6.670551792437932,frozen,11,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.01566188230389879,6.670551792437933,0.015661882303898783,6.670551792437931,frozen,12,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.24476379839326026,6.670551792437934,0.24476379839326032,6.670551792437932,frozen,13,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.033153123916256494,6.670551792437934,0.03315312391625648,6.670551792437932,frozen,14,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.04157583467056126,6.670551792437934,0.04157583467056125,6.670551792437932,frozen,15,0.0,0.0,0.0,100
-inf,0.0,0.0,1,0.09977757735122302,6.670551792437934,0.09977757735122302,6.670551792437932,frozen,16,0.0,0.0,0.0,100
